user_id,timestamp,event,variant
1,2024-01-01,signup,B
1,2024-01-02,active,B
1,2024-01-03,active,B
1,2024-01-04,active,B
1,2024-01-06,active,B
2,2024-01-05,signup,B
2,2024-01-06,active,B
2,2024-01-07,active,B
2,2024-01-08,active,B
2,2024-01-09,active,B
2,2024-01-10,active,B
2,2024-01-11,active,B
3,2024-01-11,signup,A
3,2024-01-12,active,A
3,2024-01-13,active,A
3,2024-01-14,active,A
3,2024-01-15,active,A
3,2024-01-17,active,A
4,2024-01-04,signup,A
4,2024-01-05,active,A
4,2024-01-08,active,A
4,2024-01-09,active,A
4,2024-01-10,active,A
5,2024-01-11,signup,B
5,2024-01-12,active,B
5,2024-01-14,active,B
5,2024-01-16,active,B
5,2024-01-17,active,B
6,2024-01-01,signup,B
6,2024-01-04,active,B
6,2024-01-06,active,B
6,2024-01-07,active,B
7,2024-01-08,signup,B
7,2024-01-10,active,B
7,2024-01-13,active,B
8,2024-01-03,signup,B
8,2024-01-05,active,B
8,2024-01-07,active,B
9,2024-01-06,signup,B
9,2024-01-07,active,B
9,2024-01-09,active,B
10,2024-01-11,signup,A
10,2024-01-13,active,A
10,2024-01-16,active,A
10,2024-01-17,active,A
11,2024-01-08,signup,A
11,2024-01-09,active,A
11,2024-01-13,active,A
12,2024-01-11,signup,A
12,2024-01-13,active,A
12,2024-01-14,active,A
12,2024-01-17,active,A
13,2024-01-11,signup,B
13,2024-01-12,active,B
13,2024-01-14,active,B
13,2024-01-15,active,B
13,2024-01-16,active,B
13,2024-01-17,active,B
14,2024-01-09,signup,A
14,2024-01-10,active,A
15,2024-01-07,signup,B
15,2024-01-08,active,B
15,2024-01-09,active,B
15,2024-01-11,active,B
15,2024-01-13,active,B
16,2024-01-11,signup,B
16,2024-01-12,active,B
16,2024-01-14,active,B
16,2024-01-15,active,B
16,2024-01-16,active,B
16,2024-01-17,active,B
17,2024-01-09,signup,B
17,2024-01-10,active,B
17,2024-01-11,active,B
17,2024-01-12,active,B
17,2024-01-13,active,B
17,2024-01-14,active,B
18,2024-01-09,signup,B
18,2024-01-10,active,B
18,2024-01-11,active,B
18,2024-01-12,active,B
18,2024-01-13,active,B
19,2024-01-02,signup,A
19,2024-01-03,active,A
19,2024-01-04,active,A
19,2024-01-05,active,A
19,2024-01-08,active,A
20,2024-01-10,signup,A
20,2024-01-13,active,A
20,2024-01-15,active,A
21,2024-01-09,signup,B
21,2024-01-10,active,B
21,2024-01-11,active,B
21,2024-01-12,active,B
22,2024-01-05,signup,A
22,2024-01-07,active,A
22,2024-01-09,active,A
22,2024-01-11,active,A
23,2024-01-04,signup,A
23,2024-01-07,active,A
23,2024-01-09,active,A
24,2024-01-05,signup,A
24,2024-01-11,active,A
25,2024-01-02,signup,B
25,2024-01-03,active,B
25,2024-01-04,active,B
25,2024-01-05,active,B
25,2024-01-07,active,B
25,2024-01-08,active,B
26,2024-01-11,signup,B
26,2024-01-12,active,B
26,2024-01-13,active,B
26,2024-01-14,active,B
26,2024-01-15,active,B
26,2024-01-16,active,B
27,2024-01-06,signup,B
27,2024-01-08,active,B
27,2024-01-09,active,B
27,2024-01-11,active,B
28,2024-01-02,signup,B
28,2024-01-03,active,B
28,2024-01-04,active,B
28,2024-01-08,active,B
29,2024-01-07,signup,B
29,2024-01-08,active,B
29,2024-01-09,active,B
29,2024-01-11,active,B
29,2024-01-12,active,B
30,2024-01-07,signup,B
30,2024-01-08,active,B
30,2024-01-10,active,B
30,2024-01-12,active,B
31,2024-01-04,signup,B
31,2024-01-06,active,B
31,2024-01-07,active,B
31,2024-01-08,active,B
31,2024-01-09,active,B
32,2024-01-05,signup,B
32,2024-01-11,active,B
33,2024-01-11,signup,A
33,2024-01-13,active,A
33,2024-01-14,active,A
33,2024-01-15,active,A
33,2024-01-16,active,A
33,2024-01-17,active,A
34,2024-01-09,signup,A
34,2024-01-10,active,A
34,2024-01-11,active,A
34,2024-01-13,active,A
34,2024-01-14,active,A
34,2024-01-15,active,A
35,2024-01-11,signup,A
35,2024-01-12,active,A
35,2024-01-13,active,A
35,2024-01-14,active,A
35,2024-01-15,active,A
35,2024-01-16,active,A
35,2024-01-17,active,A
36,2024-01-04,signup,B
36,2024-01-07,active,B
37,2024-01-05,signup,B
37,2024-01-08,active,B
38,2024-01-04,signup,A
38,2024-01-05,active,A
38,2024-01-06,active,A
38,2024-01-07,active,A
38,2024-01-08,active,A
38,2024-01-09,active,A
39,2024-01-01,signup,B
39,2024-01-02,active,B
39,2024-01-03,active,B
39,2024-01-06,active,B
40,2024-01-08,signup,B
40,2024-01-09,active,B
40,2024-01-10,active,B
40,2024-01-13,active,B
40,2024-01-14,active,B
41,2024-01-03,signup,A
41,2024-01-04,active,A
41,2024-01-06,active,A
41,2024-01-07,active,A
41,2024-01-09,active,A
42,2024-01-05,signup,B
42,2024-01-07,active,B
42,2024-01-08,active,B
42,2024-01-10,active,B
43,2024-01-01,signup,B
43,2024-01-02,active,B
43,2024-01-03,active,B
43,2024-01-04,active,B
43,2024-01-06,active,B
44,2024-01-09,signup,B
44,2024-01-10,active,B
44,2024-01-11,active,B
44,2024-01-12,active,B
44,2024-01-14,active,B
45,2024-01-02,signup,B
45,2024-01-05,active,B
45,2024-01-06,active,B
45,2024-01-07,active,B
45,2024-01-08,active,B
46,2024-01-06,signup,A
46,2024-01-07,active,A
46,2024-01-08,active,A
46,2024-01-09,active,A
46,2024-01-10,active,A
46,2024-01-12,active,A
47,2024-01-10,signup,A
47,2024-01-12,active,A
47,2024-01-13,active,A
47,2024-01-14,active,A
47,2024-01-15,active,A
47,2024-01-16,active,A
48,2024-01-05,signup,B
48,2024-01-07,active,B
48,2024-01-08,active,B
48,2024-01-09,active,B
49,2024-01-10,signup,B
49,2024-01-11,active,B
49,2024-01-12,active,B
49,2024-01-15,active,B
50,2024-01-03,signup,A
50,2024-01-04,active,A
50,2024-01-05,active,A
50,2024-01-06,active,A
50,2024-01-09,active,A
51,2024-01-07,signup,A
51,2024-01-08,active,A
51,2024-01-09,active,A
51,2024-01-10,active,A
51,2024-01-11,active,A
51,2024-01-13,active,A
52,2024-01-01,signup,A
52,2024-01-02,active,A
52,2024-01-03,active,A
52,2024-01-04,active,A
52,2024-01-06,active,A
53,2024-01-06,signup,B
53,2024-01-07,active,B
53,2024-01-08,active,B
53,2024-01-10,active,B
53,2024-01-11,active,B
54,2024-01-02,signup,B
54,2024-01-03,active,B
54,2024-01-06,active,B
55,2024-01-08,signup,A
55,2024-01-10,active,A
55,2024-01-11,active,A
55,2024-01-12,active,A
55,2024-01-14,active,A
56,2024-01-11,signup,A
56,2024-01-13,active,A
56,2024-01-14,active,A
56,2024-01-15,active,A
56,2024-01-16,active,A
57,2024-01-04,signup,B
57,2024-01-05,active,B
57,2024-01-06,active,B
57,2024-01-07,active,B
57,2024-01-09,active,B
58,2024-01-08,signup,A
58,2024-01-10,active,A
58,2024-01-13,active,A
58,2024-01-14,active,A
59,2024-01-02,signup,B
59,2024-01-03,active,B
59,2024-01-04,active,B
59,2024-01-06,active,B
59,2024-01-07,active,B
59,2024-01-08,active,B
60,2024-01-08,signup,A
61,2024-01-11,signup,B
61,2024-01-14,active,B
61,2024-01-15,active,B
61,2024-01-16,active,B
61,2024-01-17,active,B
62,2024-01-08,signup,A
62,2024-01-09,active,A
62,2024-01-10,active,A
62,2024-01-11,active,A
62,2024-01-12,active,A
62,2024-01-13,active,A
62,2024-01-14,active,A
63,2024-01-06,signup,B
63,2024-01-07,active,B
63,2024-01-08,active,B
63,2024-01-09,active,B
63,2024-01-10,active,B
63,2024-01-11,active,B
64,2024-01-04,signup,B
64,2024-01-07,active,B
64,2024-01-10,active,B
65,2024-01-06,signup,B
65,2024-01-07,active,B
65,2024-01-08,active,B
65,2024-01-11,active,B
65,2024-01-12,active,B
66,2024-01-07,signup,B
66,2024-01-08,active,B
66,2024-01-09,active,B
66,2024-01-10,active,B
66,2024-01-12,active,B
67,2024-01-05,signup,A
67,2024-01-09,active,A
67,2024-01-10,active,A
67,2024-01-11,active,A
68,2024-01-01,signup,B
68,2024-01-02,active,B
68,2024-01-06,active,B
68,2024-01-07,active,B
69,2024-01-03,signup,A
69,2024-01-04,active,A
69,2024-01-05,active,A
69,2024-01-06,active,A
69,2024-01-08,active,A
70,2024-01-06,signup,A
70,2024-01-07,active,A
70,2024-01-10,active,A
70,2024-01-12,active,A
71,2024-01-09,signup,B
71,2024-01-10,active,B
71,2024-01-11,active,B
71,2024-01-12,active,B
71,2024-01-13,active,B
71,2024-01-14,active,B
71,2024-01-15,active,B
72,2024-01-07,signup,A
72,2024-01-08,active,A
72,2024-01-09,active,A
72,2024-01-11,active,A
72,2024-01-13,active,A
73,2024-01-06,signup,B
73,2024-01-11,active,B
74,2024-01-11,signup,A
74,2024-01-13,active,A
74,2024-01-14,active,A
74,2024-01-15,active,A
74,2024-01-16,active,A
74,2024-01-17,active,A
75,2024-01-03,signup,B
75,2024-01-04,active,B
75,2024-01-05,active,B
75,2024-01-08,active,B
75,2024-01-09,active,B
76,2024-01-01,signup,A
76,2024-01-03,active,A
76,2024-01-05,active,A
76,2024-01-06,active,A
76,2024-01-07,active,A
77,2024-01-10,signup,B
77,2024-01-14,active,B
77,2024-01-15,active,B
77,2024-01-16,active,B
78,2024-01-09,signup,A
78,2024-01-10,active,A
78,2024-01-12,active,A
78,2024-01-14,active,A
79,2024-01-07,signup,B
79,2024-01-08,active,B
79,2024-01-09,active,B
79,2024-01-11,active,B
79,2024-01-12,active,B
79,2024-01-13,active,B
80,2024-01-09,signup,A
80,2024-01-15,active,A
81,2024-01-04,signup,B
81,2024-01-05,active,B
81,2024-01-06,active,B
81,2024-01-07,active,B
81,2024-01-08,active,B
81,2024-01-10,active,B
82,2024-01-01,signup,A
82,2024-01-02,active,A
82,2024-01-04,active,A
82,2024-01-07,active,A
83,2024-01-04,signup,B
83,2024-01-05,active,B
83,2024-01-06,active,B
83,2024-01-07,active,B
83,2024-01-09,active,B
84,2024-01-08,signup,B
84,2024-01-09,active,B
84,2024-01-10,active,B
84,2024-01-11,active,B
84,2024-01-12,active,B
84,2024-01-13,active,B
84,2024-01-14,active,B
85,2024-01-11,signup,A
85,2024-01-14,active,A
86,2024-01-04,signup,B
86,2024-01-05,active,B
86,2024-01-07,active,B
86,2024-01-08,active,B
86,2024-01-09,active,B
86,2024-01-10,active,B
87,2024-01-07,signup,B
87,2024-01-10,active,B
87,2024-01-11,active,B
87,2024-01-12,active,B
87,2024-01-13,active,B
88,2024-01-06,signup,A
88,2024-01-07,active,A
88,2024-01-09,active,A
88,2024-01-10,active,A
88,2024-01-12,active,A
89,2024-01-01,signup,A
89,2024-01-02,active,A
89,2024-01-05,active,A
89,2024-01-06,active,A
89,2024-01-07,active,A
90,2024-01-09,signup,B
90,2024-01-11,active,B
90,2024-01-12,active,B
90,2024-01-15,active,B
91,2024-01-10,signup,A
91,2024-01-11,active,A
91,2024-01-13,active,A
91,2024-01-14,active,A
91,2024-01-15,active,A
92,2024-01-04,signup,B
92,2024-01-06,active,B
92,2024-01-08,active,B
93,2024-01-07,signup,A
93,2024-01-08,active,A
93,2024-01-10,active,A
93,2024-01-11,active,A
93,2024-01-12,active,A
94,2024-01-02,signup,A
94,2024-01-03,active,A
94,2024-01-04,active,A
94,2024-01-05,active,A
94,2024-01-06,active,A
94,2024-01-07,active,A
95,2024-01-03,signup,A
95,2024-01-04,active,A
95,2024-01-06,active,A
95,2024-01-07,active,A
95,2024-01-09,active,A
96,2024-01-04,signup,A
96,2024-01-05,active,A
96,2024-01-06,active,A
96,2024-01-08,active,A
97,2024-01-03,signup,B
97,2024-01-05,active,B
97,2024-01-06,active,B
97,2024-01-08,active,B
98,2024-01-11,signup,A
98,2024-01-12,active,A
98,2024-01-13,active,A
98,2024-01-14,active,A
98,2024-01-15,active,A
98,2024-01-16,active,A
98,2024-01-17,active,A
99,2024-01-02,signup,A
99,2024-01-03,active,A
99,2024-01-04,active,A
99,2024-01-07,active,A
100,2024-01-05,signup,A
100,2024-01-07,active,A
